target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,mit_stanford_fast_charge,b1c38,7C(40%)-3.6C,50-75%,717,,,2.3923215802592286e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c38,7C(40%)-3.6C,75-100%,3270,,,4.3978578060451375e-17,9.985502008591496e-17
soc,mit_stanford_fast_charge,b1c38,7C(40%)-3.6C,>100%,181,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c39,7C(40%)-3.6C,0-25%,3708,,,4.347475274422134e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c39,7C(40%)-3.6C,25-50%,835,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c39,7C(40%)-3.6C,50-75%,756,,,2.518561491047809e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c39,7C(40%)-3.6C,75-100%,3293,,,4.247837891209957e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c39,7C(40%)-3.6C,>100%,107,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,0-25%,7799,,,4.2763302551275423e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,25-50%,1552,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,50-75%,1548,,,2.456404301899975e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,75-100%,5867,,,4.2534075378330785e-17,9.999054535747565e-17
soc,mit_stanford_fast_charge,b1c4,4C(80%)-4C,>100%,569,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c40,8C(15%)-3.6C,0-25%,9720,,,4.697888169015709e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c40,8C(15%)-3.6C,25-50%,1184,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c40,8C(15%)-3.6C,50-75%,1246,,,2.5260692414224067e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c40,8C(15%)-3.6C,75-100%,5135,,,4.3402185047847675e-17,9.990923019453923e-17
soc,mit_stanford_fast_charge,b1c40,8C(15%)-3.6C,>100%,205,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c41,8C(15%)-3.6C,0-25%,9320,,,4.311048418582019e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c41,8C(15%)-3.6C,25-50%,1285,,,0.0,0.0
